datum,ervaring,geslacht,gewichtsklasse,ploeg,naam,zone,trainingype,500_split,aantal_intervallen,intervaltype,interval_afstand,interval_tijd,interval_nummer,rust,machine,spm,2k tijd,2k datum
01-09-2018,1,M,Z,MGH,z47,ED,3x15',,3,tijd,,900,3,,ergometer,20,6:19.9,8-12-2018
01-09-2018,1,M,Z,MGH,z48,ED,3x15',,3,tijd,,900,1,,ergometer,20,6:14.4,8-12-2018
01-09-2018,1,M,Z,MGH,z48,ED,3x15',,3,tijd,,900,2,,ergometer,20,6:14.4,8-12-2018
01-09-2018,1,M,Z,MGH,z48,ED,3x15',,3,tijd,,900,3,,ergometer,20,6:14.4,8-12-2018
01-09-2018,1,M,Z,MGH,z49,ED,3x15',,3,tijd,,900,1,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z49,ED,3x15',,3,tijd,,900,2,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z49,ED,3x15',,3,tijd,,900,3,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z50,ED,3x15',,3,tijd,,900,1,,ergometer,20,6:30.2,8-12-2018
01-09-2018,1,M,Z,MGH,z50,ED,3x15',,3,tijd,,900,2,,ergometer,20,6:30.2,8-12-2018
01-09-2018,1,M,Z,MGH,z50,ED,3x15',,3,tijd,,900,3,,ergometer,20,6:30.2,8-12-2018
01-09-2018,1,M,Z,MGH,z51,ED,3x15',2:01.8,3,tijd,,900,1,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z51,ED,3x15',2:01.6,3,tijd,,900,2,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z51,ED,3x15',2:00.8,3,tijd,,900,3,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z52,ED,3x15',2:00.0,3,tijd,,900,1,,ergometer,20,6:22.2,8-12-2018
01-09-2018,1,M,Z,MGH,z52,ED,3x15',2:01.2,3,tijd,,900,2,,ergometer,20,6:22.2,8-12-2018
01-09-2018,1,M,Z,MGH,z52,ED,3x15',2:01.0,3,tijd,,900,3,,ergometer,20,6:22.2,8-12-2018
01-09-2018,1,M,Z,MGH,z53,ED,3x15',1:56.9,3,tijd,,900,1,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z53,ED,3x15',1:58.6,3,tijd,,900,2,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z53,ED,3x15',2:00.9,3,tijd,,900,3,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z54,ED,3x15',1:58.6,3,tijd,,900,1,,ergometer,20,6:32.0,8-12-2018
01-09-2018,1,M,Z,MGH,z54,ED,3x15',1:59.9,3,tijd,,900,2,,ergometer,20,6:32.0,8-12-2018
01-09-2018,1,M,Z,MGH,z54,ED,3x15',2:01.1,3,tijd,,900,3,,ergometer,20,6:32.0,8-12-2018
,,,,,,,,,,,,,,,,,,
08-09-2018,1,M,Z,MGH,z47,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:19.9,8-12-2018
08-09-2018,1,M,Z,MGH,z47,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:19.9,8-12-2018
08-09-2018,1,M,Z,MGH,z47,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:19.9,8-12-2018
08-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:14.4,8-12-2018
08-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:14.4,8-12-2018
08-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:14.4,8-12-2018
08-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,1,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,2,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,3,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z50,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:30.2,8-12-2018
08-09-2018,1,M,Z,MGH,z50,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:30.2,8-12-2018
08-09-2018,1,M,Z,MGH,z50,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:30.2,8-12-2018
08-09-2018,1,M,Z,MGH,z51,ED,3x20',,3,tijd,,1200,1,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z51,ED,3x20',,3,tijd,,1200,2,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z51,ED,3x20',,3,tijd,,1200,3,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z52,ED,3x20',1:58.2,3,tijd,,1200,1,,ergometer,20,6:22.2,8-12-2018
08-09-2018,1,M,Z,MGH,z52,ED,3x20',1:59.5,3,tijd,,1200,2,,ergometer,20,6:22.2,8-12-2018
08-09-2018,1,M,Z,MGH,z52,ED,3x20',1:59.7,3,tijd,,1200,3,,ergometer,20,6:22.2,8-12-2018
08-09-2018,1,M,Z,MGH,z53,ED,3x20',2:00.2,3,tijd,,1200,1,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z53,ED,3x20',2:00.4,3,tijd,,1200,2,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z53,ED,3x20',2:02.9,3,tijd,,1200,3,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z54,ED,3x20',1:59.0,3,tijd,,1200,1,,ergometer,20,6:32.0,8-12-2018
08-09-2018,1,M,Z,MGH,z54,ED,3x20',2:01.3,3,tijd,,1200,2,,ergometer,20,6:32.0,8-12-2018
08-09-2018,1,M,Z,MGH,z54,ED,3x20',2:01.7,3,tijd,,1200,3,,ergometer,20,6:32.0,8-12-2018
,,,,,,,,,,,,,,,,,,
14-09-2018,1,M,Z,MGH,z47,ED,3x20',1:55.5,3,tijd,,1200,1,,ergometer,20,6:19.9,8-12-2018
14-09-2018,1,M,Z,MGH,z47,ED,3x20',1:57.0,3,tijd,,1200,2,,ergometer,20,6:19.9,8-12-2018
14-09-2018,1,M,Z,MGH,z47,ED,3x20',1:57.5,3,tijd,,1200,3,,ergometer,20,6:19.9,8-12-2018
14-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:14.4,8-12-2018
14-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:14.4,8-12-2018
14-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:14.4,8-12-2018
14-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,1,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,2,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,3,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z50,ED,3x20',2:00.9,3,tijd,,1200,1,,ergometer,20,6:30.2,8-12-2018
14-09-2018,1,M,Z,MGH,z50,ED,3x20',2:00.9,3,tijd,,1200,2,,ergometer,20,6:30.2,8-12-2018
14-09-2018,1,M,Z,MGH,z50,ED,3x20',2:00.9,3,tijd,,1200,3,,ergometer,20,6:30.2,8-12-2018
14-09-2018,1,M,Z,MGH,z51,ED,3x20',1:59.4,3,tijd,,1200,1,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z51,ED,3x20',1:59.4,3,tijd,,1200,2,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z51,ED,3x20',1:59.3,3,tijd,,1200,3,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z52,ED,3x20',1:57.9,3,tijd,,1200,1,,ergometer,20,6:22.2,8-12-2018
14-09-2018,1,M,Z,MGH,z52,ED,3x20',1:58.2,3,tijd,,1200,2,,ergometer,20,6:22.2,8-12-2018
14-09-2018,1,M,Z,MGH,z52,ED,3x20',1:58.6,3,tijd,,1200,3,,ergometer,20,6:22.2,8-12-2018
14-09-2018,1,M,Z,MGH,z53,ED,3x20',2:00.1,3,tijd,,1200,1,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z53,ED,3x20',2:02.1,3,tijd,,1200,2,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z53,ED,3x20',2:02.6,3,tijd,,1200,3,,ergometer,20,,8-12-2018
14-09-2018,1,M,Z,MGH,z54,ED,3x20',1:57.7,3,tijd,,1200,1,,ergometer,20,6:32.0,8-12-2018
14-09-2018,1,M,Z,MGH,z54,ED,3x20',1:57.6,3,tijd,,1200,2,,ergometer,20,6:32.0,8-12-2018
14-09-2018,1,M,Z,MGH,z54,ED,3x20',1:57.7,3,tijd,,1200,3,,ergometer,20,6:32.0,8-12-2018
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
29-09-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:40.7,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:21.6,11-12-2021
29-09-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:42.3,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:21.6,11-12-2021
29-09-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:43.6,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:21.6,11-12-2021
29-09-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:46.7,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:30.4,11-12-2021
29-09-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:47.7,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:30.4,11-12-2021
29-09-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:46.2,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:30.4,11-12-2021
29-09-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,1:42.6,3,afstand,2000,,1,300,ergometer,24-26-28-30,,11-12-2021
29-09-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,2,300,ergometer,24-26-28-30,,11-12-2021
29-09-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,3,300,ergometer,24-26-28-30,,11-12-2021
29-09-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:44.0,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:34.1,11-12-2021
29-09-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:46.2,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:34.1,11-12-2021
29-09-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:45.5,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:34.1,11-12-2021
29-09-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:40.3,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:11.8,11-12-2021
29-09-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:40.0,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:11.8,11-12-2021
29-09-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:38.9,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:11.8,11-12-2021
29-09-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,1:41.8,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:29.4,11-12-2021
29-09-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,1:44.9,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:29.4,11-12-2021
29-09-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,1:46.3,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:29.4,11-12-2021
,,,,,,,,,,,,,,,,,,
06-10-2021,1,M,Z,MGH,z4,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:21.6,11-12-2021
06-10-2021,1,M,Z,MGH,z4,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:21.6,11-12-2021
06-10-2021,1,M,Z,MGH,z4,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:21.6,11-12-2021
06-10-2021,1,M,Z,MGH,z3,ED,3x20',1:56.5,3,tijd,,1200,1,,ergometer,20,6:30.4,11-12-2021
06-10-2021,1,M,Z,MGH,z3,ED,3x20',2:03.3,3,tijd,,1200,2,,ergometer,20,6:30.4,11-12-2021
06-10-2021,1,M,Z,MGH,z3,ED,3x20',1:59.3,3,tijd,,1200,3,,ergometer,20,6:30.4,11-12-2021
06-10-2021,1,M,Z,MGH,z7,ED,3x20',,3,tijd,,1200,1,,ergometer,20,,11-12-2021
06-10-2021,1,M,Z,MGH,z7,ED,3x20',,3,tijd,,1200,2,,ergometer,20,,11-12-2021
06-10-2021,1,M,Z,MGH,z7,ED,3x20',,3,tijd,,1200,3,,ergometer,20,,11-12-2021
